ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Number of protesters,Number of protesters arrested,Number of protesters injured,Number of protesters killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
DN12032001,20.03.12,1,20.03.12,Tue,positive response,accede,"local authorities, education institution",,,"rector of the university, local authorities",,,students,,,Gorlivka pedagogical institute,"Students action in Gorlivka is partly successful as local authorities have negotiated with OblEnergo not to cut off campus electricity. Besides rector of university told that, if students wish to, they can refund their 'voluntary donations', that they deemed corruptive must.",DN12031401,Donetsk,Horlivka,,public utilities,corruption,,,0,0,0,N,0,0,0,N
DN12032002,20.03.12,1,20.03.12,Tue,protest,picket,"small business, car owners",NGO,,"Gorlivka auto club ""Forsage"", automobilists",local authorities,local authorities,,,,city authorities,Car owners showed their pain to the authorities. Picket dedicated to road quality gathered quite many people.,,Donetsk,Horlivka,,public utilities,,,499,0,0,0,N,,0,0,N
KIEV12032001,20.03.12,1,20.03.12,Tue,protest,suicide,Chernobyl,,,,,"communal enterprise, local authorities",,,,"Chernobyl hospital, pension fund","A Chernobyl pensioner tried to commit suicide since he had no possibility to receive medical treatment, as Chernobyl pensions are too small and stuff of Chernobyl hospital is corrupted.",,Kyiv,Kyiv,,social payments,corruption,,1,0,0,0,N,,0,0,N
KIEV12032002,20.03.12,1,20.03.12,Tue,protest,picket,scientists,initiative group,environmentalists,"National Ecological Center, Kyiv Environment Protection Brigade",foreign country,foreign country,,,,Russia,Activists protested against prosecuting Russian environmentalists.,,Kyiv,Kyiv,,police abuse,civic liberties,,,0,0,0,N,,0,0,N
KIEV12032003,20.03.12,1,20.03.12,Tue,protest,rally,,party,rightists,"UNA-UNSO, KUN, UNP",local authorities,"local authorities, religious institution",,,,"Kyiv city state administration, Orthodox Church (MP)",Activists demanded to rename Lavrska st. to Masepa st.,KIEV12032003,Kyiv,Kyiv,,KP-MP,Ukrainian nationalism,,49,0,0,0,N,,0,0,N
KIEV12032004,20.03.12,1,20.03.12,Tue,protest,symbolic,,party,rightists,"UNA-UNSO, KUN, UNP",local authorities,"local authorities, religious institution",,,,"Kyiv city state administration, Orthodox Church (MP)",Activists brought a table and renamed Lavrska st. to Masepa st.,KIEV12032003,Kyiv,Kyiv,,KP-MP,Ukrainian nationalism,,49,0,0,0,N,,0,0,N
KIEV12032005,20.03.12,1,20.03.12,Tue,protest,rally,neighborhood,,,dwellers of Ivankiv,local authorities,local authorities,,,,Ivankiv village administration,Local inhabitants protested against developing companies and resorts at 3rd and 4th Chernobyl zone.,,Kyiv,Ivankiv village,,development projects,,,,0,0,0,N,,0,0,N
MK12032001,20.03.12,1,20.03.12,Tue,protest,picket,,party,leftists,CPU,local authorities,company,,,,"town executive committee, pharmacy companies",Communists picketed town executive committee criticizing unbearable prices for medicines,,Mykolaiv,Pervomaisk,10:00:00 AM,public health,speculation,,51,0,0,0,N,,0,0,N
ZT12032001,20.03.12,1,20.03.12,Tue,protest,picket,small business,,,Khlibna st. traders,local authorities,local authorities,,,,Zhytomyr city council,Traders demanded permission to trade.,ZT12030101,Zhytomyr,Zhytomyr,,small business rights,,,149,0,0,0,N,,0,0,N
ZT12032002,20.03.12,1,20.03.12,Tue,protest,picket,citizens,,,victims of fraud,local authorities,company,,,,"Zhytomyr city council, Olvita-bud","Citizens, being frauded by building company, demanded from local council tjustice and solving the problem.",,Zhytomyr,Zhytomyr,,fraud,,,31,0,0,0,N,,0,0,N
IF12032101,21.03.12,1,21.03.12,Wed,protest,rally,neighborhood,,,people of Cherganivka village,law-enforcement,local authorities,,,,"prosecutor, electoral commission ",Citizens were dissatisfied with falsifications against local village head elections.,,Ivano-Frankivsk,Cherganivka village,,local self-government,electoral,,,0,0,0,N,,0,0,N
KIEV12032101,21.03.12,1,21.03.12,Wed,protest,destroy,neighborhood,,rightists,,,company,,,,,"Protesting against destroying forest at Ushakova st., activists destroyed building cabin and arsoned digging machine.",,Kyiv,Kyiv,,development projects,,,20,0,0,0,Y,,0,0,N
LVIV12032101,21.03.12,approximate,21.03.12,Wed,protest,vandalism,unknown,,,,,,,,,,Unknowns spoiled the monument of Holodomor with a blue paint.,,Lviv,Lviv,,Ukrainian nationalism,,,,0,0,0,Y,0,0,0,N
LVIV12032102,21.03.12,1,21.03.12,Wed,protest,symbolic,,initiative group,,"Vidsich, For Peaceful Protest",,government,,,,Verkhovna Rada,"Activists protested against draft law #2450, limiting freedom of assembly.",,Lviv,Lviv,,civic liberties,,,,0,0,0,N,,0,0,N
LVIV12032103,21.03.12,approximate,21.03.12,Wed,protest,graffiti,unknown,,,,,,,,,,Unknowns poured the memorial of Lviv ghetto victims with paint.,,Lviv,Lviv,,antisemitism,,,,0,0,0,Y,0,0,0,N
MK12032101,21.03.12,1,21.03.12,Wed,negative response,preclude,court,,,Mykolaiv Zavodsky district court,,,,party,,Batkivschyna,Court prohibited tent camp in support of justice in the affair of tortured Oksana Makar.,Mykolaiv rape,Mykolaiv,Mykolaiv,,police non-feasance,,,,0,0,0,N,0,0,0,N
MK12032102,21.03.12,1,21.03.12,Wed,protest,rally,neighborhood,party,rightists,"Svoboda, mothers of people who died in car accidents, dwellers of illegally sold dormitories, dwellers of a station, whose land was given to railroad",law-enforcement,law-enforcement,,,,"Mykolain Central district police department, Mykolaiv attorney",Citizens demanded justice in the affair of raped and tortured Oksana Makar. other actors addressed their issues,Mykolaiv rape,Mykolaiv,Mykolaiv,,police non-feasance,land,housing rights,,0,0,0,N,,0,0,N
SUMY12032101,21.03.12,1,21.03.12,Wed,protest,demonstration/march,,party,rightists,Svoboda,,"foreign citizens, migrants",,,,,"In response to action ""Sumy - tolerant territory"" Svoboda marched with anti-immigrant and anti-foreign students slogans and performance.",,Sumy,Sumy,,neofascism,immigration,,11,0,0,0,N,,0,0,N
UZ12032101,21.03.12,1,21.03.12,Wed,protest,rally,citizens,,,,,local authorities,,,,,Citizens protested against increasing fees for water.,,Uzhgorod,Mukacheve,,public utilities,,,,0,0,0,N,,0,0,N
ZP12032101,21.03.12,1,21.03.12,Wed,protest,picket,neighborhood,NGO,,Union of Bogdan Khmelnitsky,court,company,,,,"owner of the dormitory, court",People picketed court regarding a case of illegal dormitory selling operation thus securing their housing rights.,,Zaporizhzhya,Berdiansk,,housing rights,,,31,0,0,0,N,,0,0,N
ZP12032102,21.03.12,1,21.03.12,Wed,protest,picket,,NGO,,Union of Bogdan Khmelnitsky,court,law-enforcement,,,,,Dormitory advocats NGO also came by to a picket of another court conerning case of police abuse and death of detained man.,,Zaporizhzhya,Berdiansk,,police abuse,,,,0,0,0,N,,0,0,N
ZT12032101,21.03.12,1,21.03.12,Wed,protest,picket,small business,,,Khlibna st. traders,local authorities,local authorities,,,,Zhytomyr city council,Traders demanded permission to trade.,ZT12030101,Zhytomyr,Zhytomyr,,small business rights,,,49,0,0,0,N,,0,0,N
ZT12032102,21.03.12,1,21.03.12,Wed,protest,picket,small business,,,,local authorities,small business,,,,Zhytomyr city council,Traders supported local authorities in their conflict with traders from Khlibna st.,ZT12030101,Zhytomyr,Zhytomyr,,small business rights,,,99,0,0,0,N,,0,0,N
ZT12032103,21.03.12,1,21.03.12,Wed,positive response,accede,local authorities,,,Zhytomyr city council,,,small business,,,Khlibna st. traders,Zhytomyr mayor allowed traders to continue their trade till May 1.,ZT12030101,Zhytomyr,Zhytomyr,,small business rights,,,,0,0,0,N,0,0,0,N
CK12032201,22.03.12,1,22.03.12,Thu,protest,rally,students,NGO,environmentalists,"pupils of specialized school #3, ""Ecological virgil""",,,,,,,Pupils called the citizens to refuse from plastic bags and save water.,,Cherkasy,Cherkasy,,environment,,,,0,0,0,N,,0,0,N
CRIMEA12032201,22.03.12,1,22.03.12,Thu,protest,rally,citizens,,,,law-enforcement,law-enforcement,,,,"Kirovske district police department, policeman, supposed to be guilty",Citizens demanded to punish the ones who are guilty in death of Edem Gafurov (died in car accident),,Crimea,Kirovske urban settlement,,police non-feasance,traffic regulation,,201,0,0,0,N,,0,0,N
CRIMEA12032202,22.03.12,1,22.03.12,Thu,protest,rally,small business,,,,local authorities,local authorities,,,,Sevastopol city administration,Businessmen demanded to decrease rent fee for trade places.,,Crimea,Sevastopol,,small business rights,,,49,0,0,0,N,,0,0,N
CRIMEA12032203,22.03.12,1,22.03.12,Thu,protest,rally,,party,leftists,CPU,local authorities,local authorities,,,,Kerch town administration,Citizens protested for decreasing public utilities fees.,,Crimea,Kerch,,public utilities,,,,0,0,0,N,,0,0,N
DN12032201,22.03.12,1,22.03.12,Thu,protest,blockade,neighborhood,,,Dvortsova str. Locals,,company,,,,"""Intervitrazhservis"" building company",Locals obstructed building machinery in their neighborhood.,,Donetsk,Kramatorsk,,development projects,,,,0,0,0,N,,0,0,N
KIEV12032201,22.03.12,1,22.03.12,Thu,protest,confrontation,small business,,,Lesnoy market traders,,"law-enforcement, communal enterprise, state forces",,,,"court executives, police, ""Kievblagoustrij"", ",Court executives and confronted with market traders.,KIEV12032201,Kyiv,Kyiv,,small business rights,raiders,,,0,,0,N,,0,0,N
KIEV12032202,22.03.12,1,22.03.12,Thu,negative response,arrest,state forces,,,police,,,small business,,,Lesnoy market traders,Police detained one of the active protesters,KIEV12032201,Kyiv,Kyiv,,small business rights,raiders,,,1,0,0,N,,0,0,N
KIEV12032203,22.03.12,1,22.03.12,Thu,protest,picket,citizens,,,"supposedly hired ""opponents"" of market traders",,small business,,,,Lesnoy market traders,Activists (probably paid) supported executives.,KIEV12032201,Kyiv,Kyiv,,small business rights,raiders,,,0,0,0,N,,0,0,N
KIEV12032204,22.03.12,1,22.03.12,Thu,protest,rally,,"party, NGO",,"""Youth of Democratic Alliance"", different NGOs ",government,,,,,Verkhovna Rada,"Activists supported draft law #7262-1 ""On NGOs"".",KIEV12032204,Kyiv,Kyiv,,civic liberties,,,49,0,0,0,N,,0,0,N
KIEV12032205,22.03.12,1,22.03.12,Thu,positive response,accede,government,,,Verkhovna Rada,,,,"NGO, party",,"""Youth of Democratic Alliance"", different NGOs ","Draft law #7262-1 ""On NGOs"" was voted for.",KIEV12032204,Kyiv,Kyiv,,civic liberties,,,,0,0,0,N,0,0,0,N
KIEV12032206,22.03.12,1,22.03.12,Thu,protest,tent camp,,party,rightists,"Batkivschyna, Svoboda, UDAR, NRU, Front of Changes",,government,,,,President Yanukovych,"Activists tried to set a tent camp, initiating reference to Orange Revolution.","KIEV12032206, get up!",Kyiv,Kyiv,,anti-Yanukovych,,,69,0,0,0,N,,0,0,N
KIEV12032207,22.03.12,1,22.03.12,Thu,negative response,preempt,state forces,,,"police, Berkut",,,,party,rightists,"Batkivschyna, Svoboda, UDAR, NRU, Front of Changes",State forces interrupted protest action.,"KIEV12032206, get up!",Kyiv,Kyiv,,anti-Yanukovych,,,,0,,0,N,,0,0,N
KIEV12032208,22.03.12,1,22.03.12,Thu,negative response,arrest,state forces,,,"police, Berkut",,,,party,rightists,"Batkivschyna, Svoboda, UDAR, NRU, Front of Changes",State forces tried to arrest activists.,"KIEV12032206, get up!",Kyiv,Kyiv,,anti-Yanukovych,,,,0,0,0,N,,0,0,N
LUTSK12032201,22.03.12,1,22.03.12,Thu,negative response,harass,law-enforcement,,,tax police,,,politician,,,Volyn region council deputy Vasyl Stolyar,"Tax police provided checks at Stolyar's company ""Femida-Inter"".",,Lutsk,Lutsk,,anti-Stolyar,,,,0,0,0,N,,0,0,Y
LVIV12032201,22.03.12,1,22.03.12,Thu,protest,rally,small business,business association,,"Pryvokzalny market, Torpedo market",local authorities,company,,,,"Pryvokzalny market, city council",Trade union protested against taking over their trade places.,LVIV12032201,Lviv,Lviv,,small business rights,raiders,,31,0,0,0,N,,0,0,N
TE12032201,22.03.12,1,22.03.12,Thu,protest,picket,,"initiative group, party",rightists,Committee of Resistance to the Dictatorship,local authorities,government,,,,"Regional Administration, V.Yanukovych",CRD organized protest against possible recognition of Russian language as a second official language in Ukraine (earlier V.Yanukovych stated that in his interview to  ITAR-TASS),,Ternopil,Ternopil,,language,,,150,0,0,0,N,,0,0,N
ZT12032201,22.03.12,1,22.03.12,Thu,protest,picket,,party,rightists,Svoboda,local authorities,local authorities,,,,Zhytomyr region council,Activists protested against installing monuments of Soviet leaders.,,Zhytomyr,Zhytomyr,,anti-Communism,,,,0,0,0,N,,0,0,N
CK12032301,23.03.12,approximate,23.03.12,Fri,protest,graffiti,unknown,,,unknown,,politician,,,,N.Korolevska,Korolevska bigboard was paint busted.,,Cherkasy,Uman,,anti-Korolevska,,,,0,0,0,Y,0,0,0,N
CK12032302,23.03.12,1,23.03.12,Fri,protest,symbolic,,party,,United opposition,,,,,,,"Oppositional coalition coordinator in Cherkasy, the UNP party renamed street of Engels into Chornovil in direct action style by sticking signs over.",,Cherkasy,Cherkasy,,anti-Communism,Ukrainian nationalism,,,0,0,0,N,0,0,0,N
CRIMEA12032301,23.03.12,1,23.03.12,Fri,protest,rally,,party,,Batkivschyna,government,court,,,,"Simpheropol region administrative court, Parliament of the ARC","Activists defended land of hunters NGO ""Kedr"", which was given by the parliament of ARC basically to president's family",,Crimea,Simferopol,,land,,,29,0,0,0,N,,0,0,N
CV12032301,23.03.12,1,23.03.12,Fri,protest,arson,unknown,,,,,local authorities,,,,"Petro Us, village head and member of Batkivshchyna",Somebody set on fire the car pf Petro Us. Some people suggest that it is because of the land distribution,,Chernivtsi,Rososhany village,,land,,,,0,0,0,Y,0,0,0,Y
DN12032301,23.03.12,approximate,23.03.12,Fri,protest,picket,citizens,,,,local authorities,local authorities,,,,city executive committee ,"Pensioners of Chasiv Yar seem to have picketed local authorities for lower costs of public utilities, but there is little information on this.",,Donetsk,Chasiv Yar,,public utilities,,,,0,0,0,N,,0,0,N
IF12032301,23.03.12,1,23.03.12,Fri,protest,motorcade,car owners,,,,local authorities,local authorities,,,,Ivano-Frankivsk city council,Activists arranged a motorcade against bad quality of roads.,,Ivano-Frankivsk,Ivano-Frankivsk,,public utilities,,,,0,0,0,N,,0,0,N
KH12032301,23.03.12,approximate,23.03.12,Fri,protest,harass,unknown,,,,,mass-media,,,,"Ye.Barannyk, general director of JSC ""Pravo-A/TVK""","Ye.Barannyk claims that she receives constant threat from unknown people. Last time door of her apartment was stained with blood. She thinks, these actions are connected with her porfessional activities.",,Kharkiv,Kharkiv,,freedom of speech,,,,0,0,0,N,,0,0,Y
LVIV12032301,23.03.12,1,23.03.12,Fri,negative response,beating,company,,,Pryvokzalny market,,,small business,business association,,Pryvokzalny market,In conflict with traders administration beated them.,LVIV12032201,Lviv,Lviv,,small business rights,raiders,,,0,0,0,N,,0,0,N
MK12032301,23.03.12,1,23.03.12,Fri,protest,rally,,party,rightists,"Batkivschyna, Svoboda, Front of Changes, NRU","local authorities, government","local authorities, government",,,,"Regional council, president, governor","Citizens demanded impeachment of President Yanukovych and governor Kruglov, as well as increasing quality of life.",,Mykolaiv,Mykolaiv,,welfare,anti-Yanukovych,anti-Kruglov,149,0,0,0,N,15,0,0,N
MK12032302,23.03.12,1,23.03.12,Fri,negative response,preclude,court,,,Mykolaiv district administrative court,,,citizens,,,Anatoliy Ilchenko,Court prohibited Anatoily Ilchenko to organize several protest actions against local authorities and president,,Mykolaiv,Mykolaiv,,anti-Yanukovych,anti-local authorities,,,0,0,0,N,0,0,0,N
OD12032301,23.03.12,1,23.03.12,Fri,protest,picket,citizens,,,"historical reconstruction fans, knights",law-enforcement,law-enforcement,,,,local police HQ,Knights-reconstructionists of Odesa picketed regional police HQ supporting their mate who was recently charged with a criminal case for wearing a knight knife replica.,,Odesa,Odesa,,police abuse,civic liberties,,21,0,0,0,N,,0,0,N
KIEV12032401,24.03.12,1,24.03.12,Sat,negative response,beating,unknown,,,,,,,NGO,,"Rostyslav Shaposhnykov, activist of Road Control ",Civic activist was kidnapped and beated by unknowns.,,Kyiv,Kyiv,,civic liberties,,,,0,2,0,N,0,0,0,N
OD12032401,24.03.12,1,24.03.12,Sat,protest,picket,citizens,,,,"local authorities, law-enforcement",,,,,RSA,Concerned citizens picketed RSA demanding justice as such.,Mykolaiv rape,Odesa,Odesa,,police non-feasance,,,31,0,0,0,N,,0,0,N
OD12032402,24.03.12,1,24.03.12,Sat,protest,picket,,NGO,,Kolokol,"local authorities, law-enforcement",,,,,city council,NGO stood by city council for justice in criminal cases.,Mykolaiv rape,Odesa,Odesa,,police non-feasance,,,51,0,0,0,N,,0,0,N
OD12032403,24.03.12,1,24.03.12,Sat,protest,rally,neighborhood,,,cinema Vimpel areas,"politician, party",company,,,,"Markov, Rodina",Locals are concerned with former Vimpel cinema reconstruction into a supermarket and respective preservation of green zone nearby. people suspected Markov being interested in the case,,Odesa,Odesa,,development projects,,,31,0,0,0,N,,0,0,N
SUMY12032401,24.03.12,1,24.03.12,Sat,protest,rally,Chernobyl,NGO,,Union of Chornobyl of Ukraine,government,"government, NGO",,,,"Cabinet of Ministers, head of Union","Chornobyl vets demand social payments, criticized leader of regional organization ""Union Chornobyl of Ukraine""",Chernobyl,Sumy,Sumy,,social payments,,,199,0,0,0,N,,0,0,N
CK12032501,25.03.12,1,25.03.12,Sun,protest,picket,neighborhood,,,Uman locals,local authorities,"religious institution, foreign citizens, local authorities, company",,,,,"Locals of Uman picket local investments forum against development projects mostly done by Hasidim pilgrims, which occupy public spaces.",,Cherkasy,Uman,,development projects,,,,0,0,0,N,,0,0,N
CRIMEA12032501,25.03.12,1,25.03.12,Sun,protest,blockade,neighborhood,initiative group,,"Russian community, women council",,company,,,,development company,"Citizens blocked the building site, protesting against setting a house there.",,Crimea,Prymorsky village,,development projects,,,31,0,0,0,N,,0,0,N
LVIV12032501,25.03.12,2,26.03.12,Sun,protest,destroy,unknown,,,,,local authorities,,,,Boryslav town mayor Volodymyr Firman,Unknowns attacked the car and the house of Boryslav town mayor,,Lviv,Boryslav,,anti-Firman,,,,0,0,0,Y,0,0,0,Y
CK12032601,26.03.12,1,26.03.12,Mon,protest,picket,neighborhood,party,,"village Sobolivka and town Shpola, NRU","local authorities, law-enforcement","state forces, company",,,,"road police, district administration, STOV, police","Men in two villages were beaten, so people gathered in the district centre town demanding justice.",CK12032601,Cherkasy,Shpola,,police non-feasance,,,199,0,0,0,N,,0,0,N
CK12032602,26.03.12,1,26.03.12,Mon,protest,rally,,party,leftists,CPU and deceived investors,,"company, law-enforcement, local authorities",,,,"governor, prosecutor's office",CPU claimed they would help deceived investors if they support them at elections.,,Cherkasy,Cherkasy,,electoral,fraud,,51,0,0,0,N,,0,0,N
CK12032603,26.03.12,approximate,26.03.12,Mon,negative response,preclude,court,,,,,,neighborhood,party,,"village Sobolivka and town Shpola, NRU","Men in two villages were beaten, so people gathered in the district centre town demanding justice. Although, court prohibited this protest action.",CK12032601,Cherkasy,Shpola,,police non-feasance,,,,0,0,0,N,0,0,0,N
CRIMEA12032601,26.03.12,1,26.03.12,Mon,protest,rally,citizens,,,,local authorities,"local authorities, company",,,,"Sevastopol city state administration, private vetclinics",Activists protested against slaughtering animals on streets.,,Crimea,Sevastopol,,animal rights,,,,0,0,0,N,,0,0,N
CRIMEA12032602,26.03.12,1,26.03.12,Mon,protest,blockade,neighborhood,,,,government,local authorities,,,,"President Yanukovych, Zuya village administration","Local inhabitants blocked the road from Simpheropol to Feodosia, protesting against no electricity in their dwellings.",,Crimea,Zuya village,,public utilities,,,,0,0,0,N,,0,0,N
KIEV12032602,26.03.12,1,26.03.12,Mon,protest,confrontation,small business,,,Lukyanivsky market traders,,unknown,,,,"unknown raiders, who occupied the market",Confrontation during raiders' attack occured,,Kyiv,Kyiv,,small business rights,raiders,,,0,0,0,N,0,0,0,N
KIEV12032603,26.03.12,1,26.03.12,Mon,protest,rally,,party,rightists,Svoboda,local authorities,local authorities,,,,Kyiv city state administration,Activists demanded impeachment for Kyiv city mayor Oleksandr Popov.,,Kyiv,Kyiv,,anti-Popov,development projects,corruption,19,0,0,0,N,,0,0,N
LVIV12032601,26.03.12,1,26.03.12,Mon,protest,rally,,initiative group,rightists,For Bandera-style Lviv,foreign country,foreign country,,,,Germany,"Activists commemorated Nazi criminal Ivan Demyanyuk,had been prosecuted in Germany.",,Lviv,Lviv,,neofascism,,,,0,0,0,N,,0,0,N
LVIV12032602,26.03.12,1,26.03.12,Mon,negative response,harass,law-enforcement,,,police,,,,NGO,,Etra,Police requested for interrogation of initiators of museum exhibition dedicated to female military Olena Stepanivna.,,Lviv,Lviv,,Ukrainian nationalism,,,,0,0,0,N,,0,0,N
OD12032601,26.03.12,1,26.03.12,Mon,protest,rally,workers,trade union,,Reny port workers,government,government,,,,Ministry of infrastructure,Port workers protested against unpaid wages and possible company closure.,,Odesa,Reny,,wage arrears,company closure,insufficient financing,301,0,0,0,N,,0,0,N
RV12032601,26.03.12,1,26.03.12,Mon,positive response,accede,local authorities,,,Rivne city council,,,neighborhood,,,inhabitants of dormitory at 27 Vidinska st.,City council accepted the demand to turn the dormitory into communal property.,,Rivne,Rivne,,housing rights,,,,0,0,0,N,0,0,0,N
RV12032602,26.03.12,2,27.03.12,Mon,protest,occupation,citizens,,,owners of dwellings at Golden Horseshoe complex,local authorities,company,,,,"Rivne city administration, development company","People who bought flats which were not built, spent a night at local city administration as a protest.",,Rivne,Rivne,,fraud,,,,0,0,0,N,,0,0,N
TE12032601,26.03.12,1,26.03.12,Mon,protest,symbolic,,"NGO, party",rightists,Committee of Resistance to the Dictatorship,"local authorities, government","local authorities, government",,,,"V.Yanukovych, Ternopil regional administration",Ternopil youth continued Rise up! campaign ,get up!,Ternopil,Ternopil,,anti-Yanukovych,,,,0,0,0,N,,0,0,N
UZ12032601,26.03.12,1,26.03.12,Mon,protest,vandalism,unknown,,,,,,,,,,Unknowns attacked the monument of heroes of Carpathian Ukraine by stoling the trident.,,Uzhgorod,Solotvyno village,,Ukrainian nationalism,,,,0,0,0,Y,0,0,0,N
ZP12032601,26.03.12,1,26.03.12,Mon,protest,picket,citizens,,,,local authorities,communal enterprise,,,,"CE ""Ritual""",They protested against municipal burial enterprise obligatory payments.,burial corruption,Zaporizhzhya,Melitopol,,corruption,,,,0,0,0,N,,0,0,N
ZP12032602,26.03.12,1,26.03.12,Mon,positive response,accede,local authorities,,,city council,,,citizens,,,those concerned with burial service corruption,City council decided to cut obligatory payments for municipal burial service thus at least partly satisfying protesters' demands.,burial corruption,Zaporizhzhya,Melitopol,,corruption,,,,0,0,0,N,0,0,0,N
CK12032701,27.03.12,1,27.03.12,Tue,protest,picket,neighborhood,,,"Chornobaivski district villages: Irkliev, Skorodistka, Chervonogorka, Zagorodishe",local authorities,company,,,,"RSA, ""Agroko"" company",Village people picketed RSA for their right to control their land collectively.,,Cherkasy,Cherkasy,,land,,,199,0,0,0,N,,0,0,N
DN12032701,27.03.12,1,27.03.12,Tue,protest,symbolic,,NGO,,MAMA,law-enforcement,"government, law-enforcement",,,,"police, president","Young people were holding ""Yanukovych - wanted!"" posters.","DN12032701, Detainment of students in Kherson",Donetsk,Donetsk,,anti-Yanukovych,civic liberties,,3,0,0,0,N,,0,0,N
DN12032702,27.03.12,1,27.03.12,Tue,negative response,arrest,state forces,,,police,,,,NGO,,MAMA,They were detained.,"DN12032701, Detainment of students in Kherson",Donetsk,Donetsk,,anti-Yanukovych,,,,3,0,0,N,,0,0,N
DN12032703,27.03.12,1,27.03.12,Tue,protest,picket,"students, teachers",party,,Sportive boarding school and Front Zmin,local authorities,local authorities,,,,city council,"Pupils, parents and tutors of sportive boarding school of Mariupol picketed city council against optimization of their school.",,Donetsk,Mariupol,,education,,,99,0,0,0,N,,0,0,N
IF12032701,27.03.12,1,27.03.12,Tue,protest,rally,Chernobyl,,,,"local authorities, government",government,,,,"Ivano-Frankivsk region pension administration, Cabinet of Ministers, Regional admanistration",Protesters demanded full amount of pensions.,,Ivano-Frankivsk,Ivano-Frankivsk,,social payments,,,199,0,0,0,N,,0,0,N
KH12032701,27.03.12,1,27.03.12,Tue,protest,rally,journalists,"NGO, party",rightists,"A.Voitsekhovskyi, All-Ukrainian Union of Chornobyl veterans, Svoboda, BYT",local authorities,"local authorities, law-enforcement",,,,Kharkiv regional council,"Journalist A.Voitsekhovskyi started a mono-rally, protesting against the closure of opposition  TV-channels in Kharkiv. Later he was joined by represantatives of several organisations and parties",,Kharkiv,Kharkiv,,freedom of speech,,,49,0,0,0,N,,0,0,N
KH12032702,27.03.12,1,27.03.12,Tue,protest,symbolic,students,,,,law-enforcement,"law-enforcement, government",,,,"police, V.Yanukovych","Kharkiv students supported two Kherson students, who were detained for distributing anti-Yanukovych posters. They held a small performance, describing detainment, and distributed the same posters.",Detainment of students in Kherson,Kharkiv,Kharkiv,,police abuse,anti-government,,11,0,0,0,N,,0,0,N
KH12032703,27.03.12,1,27.03.12,Tue,negative response,disrupt,law-enforcement,,,police,,,students,,,,"Police tried to stop action, but as it was legal, this attempt failed",Detainment of students in Kherson,Kharkiv,Kharkiv,,police abuse,anti-government,,,0,0,0,N,,0,0,N
KIEV12032701,27.03.12,1,27.03.12,Tue,protest,rally,,NGO,,Mama,law-enforcement,law-enforcement,,,,police,Activists protested against prosecuting Kherson student for sticking anti-Yanukovych leaflets. They imitated police arresting protesters.,Detainment of students in Kherson,Kyiv,Kyiv,,police abuse,anti-Yanukovych,,31,0,0,0,N,,0,0,N
KM12032701,27.03.12,1,27.03.12,Tue,protest,rally,,NGO,,Mama,law-enforcement,law-enforcement,,,,police,Activists protested against prosecuting Kherson student for sticking anti-Yanukovych leaflets. They imitated police arresting protesters.,Detainment of students in Kherson,Khmelnytskyi,Khmelnytskyi,,police abuse,anti-Yanukovych,,,0,0,0,N,,0,0,N
LVIV12032701,27.03.12,1,27.03.12,Tue,protest,rally,,NGO,,Mama,law-enforcement,law-enforcement,,,,police,Activists protested against prosecuting Kherson student for sticking anti-Yanukovych leaflets. They imitated police arresting protesters.,Detainment of students in Kherson,Lviv,Lviv,,police abuse,anti-Yanukovych,,,0,0,0,N,,0,0,N
LVIV12032702,27.03.12,1,27.03.12,Tue,protest,rally,artists,,,Les Kurbas theatre,local authorities,"local authorities, government",,,,"Lviv city council, regional administration, central government",Theater workers demanded social guarantees and enough financing for the theater and culture in general,,Lviv,Lviv,,insufficient financing,culture,social payments,49,0,0,0,N,,0,0,N
LVIV12032703,27.03.12,1,27.03.12,Tue,protest,picket,neighborhood,,,Dublyany village inhabitants,law-enforcement,"local authorities, court",,,,"Lviv region attorney, town council",People claimed their right to own land lots are violated.,,Lviv,Lviv,,land,,,49,0,0,0,N,,0,0,N
LVIV12032704,27.03.12,1,27.03.12,Tue,protest,picket,neighborhood,,,Dublyany village inhabitants,local authorities,local authorities,,,,town council,People claimed their right to own land lots are violated.,,Lviv,Lviv,,land,,,49,0,0,0,N,,0,0,N
MK12032702,27.03.12,1,27.03.12,Tue,protest,picket,workers,,,Meridian,law-enforcement,company,,,,"Mykolaiv region prosecutor's office, administration of the company ",Ex-workers of Meridian protested against criminal company closure.,MK12032702,Mykolaiv,Mykolaiv,,company closure,,,24,0,0,0,N,,0,0,N
OD12032701,27.03.12,1,27.03.12,Tue,protest,blockade,neighborhood,,,Vysotsky str.,local authorities,company,,,,,Locals stood against building project in their area.,,Odesa,Odesa,,development projects,,,31,0,0,0,N,,0,0,N
OD12032702,27.03.12,1,27.03.12,Tue,protest,rally,small business,,,market Kyivsky,company,company,,,,,Market traders mobilized against increased market tarrifs.,,Odesa,Odesa,,small business rights,,,31,0,0,0,N,,0,0,N
