ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Pavlichenko,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Public transportation,Number of protesters,Number of civilians arrested,Number of civilians injured,Number of civilians killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
KIEV13112920,11/29/2013,1,11/29/2013,Fri,negative response,imprisonment,court,,,Shevchenko district court,,,,party,rightists,Roman Bilenkyi of Svoboda,he was arrested (see KIEV13112427 and KIEV13112511 and KIEV13112801),Euromaidan,,Kyiv,Kyiv,,EU,,,,,1,0,0,N,,0,0,N
KIEV13113001,11/30/2013,1,11/30/2013,Sat,negative response,attack,state forces,,,mainly Berkut,,,"journalists, foreign citizens, students",,,"pro-EU protesters, mainly students, random people","state forces violently attacked protesters on Independence square, tent camp was destroyed. minimum 35 injured - according to later reports - 79, including 4 journalists and 7 policeman, some foreign citizens. many people were also reported missing, but mostly later were found","Euromaidan, KIEV13113001",,Kyiv,Kyiv,04:00:00,EU,,,,,0,72,0,N,2001,0,0,N
KIEV13113002,11/30/2013,1,11/30/2013,Sat,protest,attack,students,,,"pro-EU protested, mainly students",,state forces,,,,Berkut,protesters sometimes tried to fought back Berkut attacks. later 7 state forces were reported injured,Euromaidan,,Kyiv,Kyiv,,police abuse,,,,,0,0,0,N,,7,0,N
KIEV13113003,11/30/2013,1,11/30/2013,Sat,negative response,arrest,state forces,,,Berkut,,,students,,,"pro-EU protesters, mainly students",35 people where arrested and released after administrative protocols were issued,Euromaidan,,Kyiv,Kyiv,,EU,,,,,35,0,0,N,,0,0,N
KIEV13113004,11/30/2013,1,11/30/2013,Sat,negative response,protocol,law-enforcement,,,police,,,students,,,"pro-EU protesters, mainly students",35 people where arrested and released after administrative protocols were issued,Euromaidan,,Kyiv,Kyiv,,EU,,,,,0,0,0,N,,0,0,N
KIEV13113005,11/30/2013,1,11/30/2013,Sat,protest,blockade,students,,,"pro-EU protesters, mainly students",,"state forces, government",,,,"Berkut, governmetn","those, who managed to escape from Berkut on Independence square, hide in the nearby church and blocked gate to it from the inside",Euromaidan,,Kyiv,Kyiv,,civic liberties,police abuse,,,351,0,0,0,N,,0,0,N
KIEV13113006,11/30/2013,2,12/1/2013,Sat,protest,rally,students,party,rightists,"pro-EU protesters, opposition",,"state forces, government",,,,"Berkut, governmetn","so, Euromaidan defacto moved to Mykhailivska square, people protested for EU, against power abuse by government and Berkut. numbers - from 500 to 10000",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,5251,0,0,0,N,,0,0,N
KIEV13113007,11/30/2013,1,11/30/2013,Sat,protest,symbolic,citizens,,,pro-EU prosters,,"state forces, government",,,,"Berkut, governmetn","people also rallied on Independence square, near Berkut. they lighted candles to protest against violent events",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,999,0,0,0,N,99,0,0,N
KIEV13113008,11/30/2013,1,11/30/2013,Sat,negative response,criminal case,law-enforcement,,,law-enforcement,,,students,,,"pro-EU protesters, mainly students",2 criminal cases were opened after morning events (see KIEV13113002),Euromaidan,,Kyiv,Kyiv,,police abuse,,,,,0,0,0,N,0,0,0,N
KIEV13113009,11/30/2013,1,11/30/2013,Sat,protest,resign,politician,,,Inna Bohoslovska,,government,,,,government,she resigned from PR in protest against events on Euromaidan,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,1,0,0,0,N,0,0,0,N
KIEV13113010,11/30/2013,1,11/30/2013,Sat,negative response,attack,state forces,,,Berkut,,,journalists,,,"pro-EU protesters, journalist",it was reported that state forces attacked protesters with stones on Instytutska street,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,,0,N,,0,0,N
KIEV13120102,12/1/2013,1,12/1/2013,Sun,negative response,preclude,court,,,district administrative court,,,,party,,"BYt, Udar, others",court prohibited pro-EU protesters to have mass events on the majority of central streets of the capital till 7th of January 2014,Euromaidan,,Kyiv,Kyiv,03:00:00,EU,,,,,0,0,0,N,0,0,0,N
KIEV13120103,12/1/2013,1,12/1/2013,Sun,protest,demonstration/march,"journalists, foreign citizens, students",party,rightists,"people+ BYT, UDAR, Svoboda, some European diplomats",,"law-enforcement, state forces, government",,,,"SBU, Berkut, governmetn",people protested against events on the 30th of November. reported numbers - from 3000 to 500000,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,251501,0,0,0,N,,0,0,N
KIEV13120104,12/1/2013,1,12/1/2013,Sun,protest,attack,unknown,,,unknown,,state forces,,,,police,"during march somebody blew pyrotechnics near state forces. protesters called this provocation, but this could be a protest",Euromaidan,,Kyiv,Kyiv,,police abuse,,,,,0,0,0,N,,0,0,Y
KIEV13120105,12/1/2013,1,12/1/2013,Sun,protest,break in,citizens,,,participants of the Euromaidan,,government,,,,government,participants of the Euromaidan broke through fence around Independence square. police run away. protesters deconstructed Christmas tree ,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,Y,,0,0,N
KIEV13120106,12/1/2013,2,1/22/2014,Sun,protest,rally,"veterans, journalists, religious institution, students, football fans","initiative group, party, trade union",rightists,"students, trade union activists, citizens, Afghan veterans, some football fans, NGOs like Common Cause and Road Control, initiative groups like Vidsich and Right Sector, journalists, BYT, UDAR, Svoboda, Democratic Alliance",government,"state forces, government",,,,"V. Yanukovych, Berkut",Protest against police abuse and crackdown of peaceful rally. in different days - reported numbers from 300 to 1500000,"Euromaidan, KIEV13120102",,Kyiv,Kyiv,morning,police abuse,EU,anti-government,,750149,0,0,0,N,3001,0,0,N
KIEV13120107,12/1/2013,2,2/11/2014,Sun,protest,tent camp,"journalists, students",party,rightists,"Euromaidan activists, opposition ",government,government,,,,V. Yanukovych,They set up a tent camp.,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120108,12/1/2013,1,12/1/2013,Sun,protest,symbolic,,party,rightists,"Svoboda, BYT, citizens ",,government,,,,government,"they hanged flags of Ukraine, EU, BYT, Svoboda symbolic on the deconstructed Christmas tree. they also chanted for Tymoshenko's freedom",Euromaidan,,Kyiv,Kyiv,,civic liberties,EU,pro-opposition,,,0,0,0,N,,0,0,N
KIEV13120109,12/1/2013,1,12/1/2013,Sun,protest,occupation,citizens,,,pro-EU protesters,,"communal enterprise, government",,,,"communal enterprises, government","they occupied part of communal cars and machinery, which was on Independence square",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120110,12/1/2013,1,12/1/2013,Sun,protest,blockade,car owners,,,"car owners, pro-EU protesters",,government,,,,government,roads around Independence square and Khreshchatyk were blocked by cars,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120111,12/1/2013,1,12/1/2013,Sun,protest,symbolic,,party,,Radical party,,"IGO, party, government",,,,"PR, Russia Custom Union, governmetn",they burned PR flag and symbol of Russian custom union on the rally,Euromaidan,,Kyiv,Kyiv,,EU,Russia Customs Union,anti-PR,,9,0,0,0,N,,0,0,N
KIEV13120112,12/1/2013,1,12/1/2013,Sun,protest,break in,journalists,"initiative group, party",rightists,"Common cause, Tetiana Chornovil, Right Sector, but mostly - Svoboda. ",,"local authorities, government",,,,"KMDA, government",protesters broke into KMDA building,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,Y,,0,0,N
KIEV13120113,12/1/2013,1,12/1/2013,Sun,protest,fight,citizens,,,pro-EU protesters,,,unknown,,,"unknown ""provocateurs"" with Molotov cocktail","near KMDA Euromaidan protesters fought with 2 ""Provocateurs""",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120114,12/1/2013,1,12/1/2013,Sun,negative response,attack,state forces,,,"Berkut, maybe Tytan",,,journalists,"initiative group, party",rightists,"Common cause, Tetiana Chornovil, Right Sector, but mostly - Svoboda","Berkut tried to fought back attack on KMDA, teargas was used - either by Berkut or protesters, or both. total 16 injured reported - separately - 12 state forces injured. however, later report on protesters injured - 17",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,17,0,N,,14,0,N
KIEV13120115,12/1/2013,2,2/13/2014,Sun,protest,occupation,journalists,"initiative group, party",rightists,"Common cause, Tetiana Chornovil, Right Sector, but mostly - Svoboda. later joined by other pro-EU protesters (including BYT and UDAR)",,"local authorities, government",,,,"government, KMDA",they occupied KMDA and one of the headquarters of Euromaidan there,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120116,12/1/2013,1,12/1/2013,Sun,protest,break in,,party,rightists,"BYT, Svoboda, UDAR",,government,,,,government,opposition broke into the headquarter of the Federation of Trade Unions.,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,Y,,0,0,N
KIEV13120117,12/1/2013,2,2/13/2014,Sun,protest,occupation,,party,rightists,"BYT, Svoboda, UDAR",,government,,,,government,opposition broke into the headquarter of the Federation of Trade Unions. their headquarter was organized there,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120118,12/1/2013,1,12/1/2013,Sun,negative response,harass,government,,,ministry of education,,,students,,,protesting students,"information appeared, that ministry demanded from National University of Taras Shevchenko lists of students, participating in Euromaidan. officials denied this information",Euromaidan,,Kyiv,Kyiv,,EU,,,,,0,0,0,N,0,0,0,Y
KIEV13120119,12/1/2013,1,12/1/2013,Sun,protest,picket,football fans,"initiative group, party, NGO",rightists,"pro-EU protesters, some opposition, obviously rightist like Right Sector, Dynamo football fans and SNA, Bratstvo, Nobody but us",,government,,,,government,"people picketed Administration of the President. reported numbers 200 to 10 thousands. bulldozer, occupied earlier by protesters (see KIEV13120109) also moves this way",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,5101,0,0,0,N,3301,0,0,N
KIEV13120120,12/1/2013,1,12/1/2013,Sun,protest,attack,football fans,"initiative group, party, NGO",rightists,"pro-EU protesters, some opposition, obviously rightist like Right Sector, Dynamo football fans and SNA, Bratstvo. hard to say, but Svoboda participation is strongly suspected, though Svoboda officially denied",,"state forces, government",,,,"government, Berkut","several times people attacked lines of state forces in front of the Administration of the President, using something like Molotov cocktails, pavements, tear gas, chains and even bulldozer. reported numbers - 200 to 1500. 5 to 100 state forces reported injured, 100, however, is a later official report. even later report stated about 35 state forces injured. later - 90 injured in whole events, later - 200. and 226 even later. so, we have minus 22 injured near KMDA, near monument to Lenin and on 30th of November - we got 68 (taking 90 injured) or enormous 204. unreal number - we take average",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,851,0,0,0,Y,,136,0,N
KIEV13120121,12/1/2013,1,12/1/2013,Sun,negative response,attack,state forces,,,Berkut,,,football fans,"initiative group, party, NGO",rightists,"pro-EU protesters, some opposition, obviously rightist like Right Sector, Dynamo football fans and SNA, Bratstvo","several times stun grenades, tear gas were used by Berkut against attackers near Administration of the President",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,3,0,N,,0,0,N
KIEV13120122,12/1/2013,1,12/1/2013,Sun,protest,blockade,"politician, artists",,,"pro-EU protesters, including singer Polozhynskyi and opposition politicians like Poroshenko and Kuzhel",,,football fans,"initiative group, party, NGO",rightists,"pro-EU protesters, some opposition, obviously rightist like Right Sector, Dynamo football fans and SNA, Bratstvo","other pro-EU protesters tried to stop attackers, especially those on Bulldozer",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120123,12/1/2013,1,12/1/2013,Sun,protest,attack,unknown,,,"somebody, called ""provocateurs"" (likely somebody from the mentioned earlier ""rightist like Right Sector, Dynamo football fans and SNA, Bratstvo"")",,,politician,,,Petro Poroshenko,"when Poroshenko tried to stop attackers near administration of the president, standing on the bulldozer, attackers confronted and pushed him off",Euromaidan,,Kyiv,Kyiv,,anti-government,anti-Poroshenko,,,,0,0,0,N,,0,0,N
KIEV13120124,12/1/2013,1,12/1/2013,Sun,protest,break in,unknown,,,"some claim - opposition, opposition says provocateurs. hence - unknown",,government,,,,government,"group of people tried to break into the Ukrainian House, but failed. opposition managed to convince them not to do this",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,25,0,0,0,N,,0,0,N
KIEV13120125,12/1/2013,1,12/1/2013,Sun,negative response,attack,state forces,,,Berkut,,,football fans,"initiative group, party, NGO",rightists,"pro-EU protesters, some opposition, obviously rightist like Right Sector, Dynamo football fans and SNA, Bratstvo, Nobody but us","Berkut made final and quite violent attack on protesters - numerous were injured, including medics-volunteers, later reports - 82 injured, looked like journalists calculated separately + 40 turned to hospitals the next day. many people were also reported missing, but mostly later were found",Euromaidan,,Kyiv,Kyiv,16:30:00,police abuse,EU,anti-government,,,0,122,0,Y,699,0,0,N
KIEV13120126,12/1/2013,1,12/1/2013,Sun,negative response,preclude,court,,,district administrative court,,,citizens,,,"everybody, obviously - pro-EU protesters",court prohibited actions near residence of Yanukovych,Euromaidan,,Kyiv,Kyiv,10:00:00,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120127,12/1/2013,1,12/1/2013,Sun,other repression,attack,state forces,,,Berkut,,,"journalists, foreign citizens",,,journalists ,"during attack on near Administration of the President numerous journalists (also foreign) were injered and their equipment broken, their ID did not help. later reports - 50 injured (minus 4 injured on KIEV13113001) we got 46",Euromaidan,,Kyiv,Kyiv,,freedom of speech,,,,,0,46,0,Y,,0,0,N
KIEV13120128,12/1/2013,1,12/1/2013,Sun,protest,motorcade,car owners,,,pro-EU protesters,,government,,,,government,"they had a motorcade, trying to reach Yanukovych's residence",Euromaidan,,Kyiv,Novi Petrivtsi village,,police abuse,EU,anti-Yanukovych,,201,0,0,0,N,,0,0,N
KIEV13120129,12/1/2013,1,12/1/2013,Sun,negative response,blockade,state forces,,,Berkut,,,car owners,,,pro-EU protesters,"Berkut blocked the way of the motorcade, which tried to reach Yanukovych's residence",Euromaidan,,Kyiv,Novi Petrivtsi village,,police abuse,EU,anti-Yanukovych,,,0,0,0,N,,0,0,N
KIEV13120130,12/1/2013,1,12/1/2013,Sun,protest,confrontation,citizens,,,Euromaidan protesters,,,journalists,NGO,Russian nationalists,"journalist, member of Slavic Guard",on Euromaidan people confronted him because of Russian coat of arms on his jacket,Euromaidan,,Kyiv,Kyiv,,anti-Russia,,,,,0,0,0,N,,0,0,N
KIEV13120131,12/1/2013,1,12/1/2013,Sun,negative response,arrest,state forces,,,state forces,,,journalists,,,"likely some rightists (but not clear), some journalists","during attack on administration of the president some people were arrested, likely some rightists, but also some journalists",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,9,0,0,N,,0,0,N
KIEV13120132,12/1/2013,1,12/1/2013,Sun,protest,picket,citizens,,,pro-EU protesters,,government,,,,government,Euromaidan activists also picketed Cabinet of Ministers,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,199,0,0,0,N,,0,0,N
KIEV13120133,12/1/2013,1,12/1/2013,Sun,protest,attack,unknown,,,"unknown ""provocateurs""",,"state forces, government",,,,"Berkut, governmetn","it was also reported, that after violent events of the evening, somebody attacked Berkut from the roofs near the administration of the president ",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,,0,N
KIEV13120134,12/1/2013,1,12/1/2013,Sun,protest,vandalism,,party,rightists,unknown+ Svoboda,,,,,,,"60 to 300 people tried to destroy monument of Lenin on Besarabska square. though they were called ""provocateurs"", two Svoboda deputies were almost arrested in the course of action. monument was damaged at least by a graffiti ",Euromaidan,,Kyiv,Kyiv,,anti-Communism,Ukrainian nationalism,,,181,0,0,0,Y,,0,0,N
KIEV13120135,12/1/2013,1,12/1/2013,Sun,negative response,fight,state forces,,,Berkut,,,,party,rightists,Svoboda and unknown,Berkut tried to stop attackers on the monument of Lenin,Euromaidan,,Kyiv,Kyiv,,anti-Communism,Ukrainian nationalism,,,,0,0,0,N,99,0,0,N
KIEV13120136,12/1/2013,1,12/1/2013,Sun,protest,attack,,party,rightists,unknown+ Svoboda,,state forces,,,,Berkut,attackers on Lenin monument started throwing some pyrotechnics at Berkut. at least one Berkut man was injured,Euromaidan,,Kyiv,Kyiv,,anti-Communism,,,,105,0,0,0,N,,1,0,N
KIEV13120137,12/1/2013,1,12/1/2013,Sun,negative response,arrest,state forces,,,Berkut,,,,,rightists,attackers of the Lenin monument,several attackers on Lenin monument were detained. 2 Svoboda members - almost detained. 1 actually detained. Svoobda saied - he was passing by,Euromaidan,,Kyiv,Kyiv,,anti-Communism,Ukrainian nationalism,,,,1,0,0,N,,0,0,N
KIEV13120138,12/1/2013,1,12/1/2013,Sun,negative response,beating,state forces,,,Berkut,,,journalists,,rightists,"people, detained near Administration of the President","Berkut cruelly beat helpless people, detained (KIEV13120131) near administration of the president",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,,0,N,,0,0,N
KIEV13120139,12/1/2013,1,12/1/2013,Sun,protest,symbolic,,NGO,,Femen,,government,,,,governmetn,"one half-naked Femen activist protested against events on Euromaidan on 30th of November with slogan ""dictatorship must die""",Euromaidan,,Kyiv,Kyiv,,civic liberties,police abuse,anti-government,,1,0,0,0,N,,0,0,N
KIEV13120140,12/1/2013,1,12/1/2013,Sun,protest,resign,workers,,,2 workers of Yanukovych's son (deputy) press-service,,government,,,,government,they resigned in protest against event on Euromaidan on 30th of November and Yanukovych-younger position on the issue,Euromaidan,,Kyiv,Kyiv,,police abuse,anti-government,,,2,0,0,0,N,0,0,0,N
KIEV13120141,12/1/2013,approximate,12/1/2013,Sun,protest,graffiti,,party,rightists,"unknown, but also obviously Svoboda involved (in graffiti on KMDA ""Headquarter of Revolution"")",,"state forces, court, government",,,,"government, Berkut, courts","numerous graffiti were made on Euromaidan (including on KMDA) - against government, Berkut, corrupted courts",Euromaidan,,Kyiv,Kyiv,,officials' illegal actions,police abuse,anti-government,,,0,0,0,Y,0,0,0,N
KIEV13120201,12/2/2013,1,12/2/2013,Mon,positive response,support,local authorities,,,"Ternopil regional council (Svoboda, UNP, Our Ukraine, United Center)",,,citizens,party,,pro-EU protesters in Ternopil,"on Kyiv Euromaidan they had a session on which they voted to call government to resign, called PR members to quit the party, called officials to take away Yanukovych portraits from their cabinets and called families of state forces to prevent them from illegal violence",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120202,12/2/2013,1,12/2/2013,Mon,negative response,criminal case,law-enforcement,,,law-enforcement,,,journalists,"initiative group, party",rightists,"Common cause, Tetiana Chornovil, Right Sector, but mostly - Svoboda. ",5 criminal cases were opened on breaking into KMDA building the previous day,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120203,12/2/2013,1,12/2/2013,Mon,negative response,criminal case,law-enforcement,,,law-enforcement,,,,party,rightists,"Svoboda, BYT, UDAR",two criminal cases were opened in relation to Trade union house occupation (KIEV13120116),Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120204,12/2/2013,1,12/2/2013,Mon,negative response,criminal case,law-enforcement,,,law-enforcement,,,football fans,"initiative group, party, NGO",rightists,"pro-EU protesters, some opposition, obviously rightist like Right Sector, Dynamo football fans and SNA, Bratstvo. hard to say, but Svoboda participation is strongly suspected, though Svoboda officially denied",4 criminal cases were opened in relation to events near Administration of the president the previous day (KIEV13120120),Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120205,12/2/2013,2,12/9/2013,Mon,protest,blockade,"car owners, students",party,rightists,"BYT, UDAR, car owners and pro-EU protesters, Svoboda",,government,,,,"Cabinet of Ministers, Parliament, National Bank, President ","people blocked governmental block - directly Cabinet of Ministers and National Bank. occasionally (be blocking the road) - Parliament, Administration of the president. reported numbers - from 150 to 30000 (on 8th of December). on the following days they mainly, but not exclusively blocked Cabinet of Ministers, not always successful. on the 3rd of December 75000 (reported) blocked Administration of the President",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,37575,0,0,0,N,,0,0,N
KIEV13120206,12/2/2013,1,12/2/2013,Mon,protest,symbolic,,,rightists,some rightists,,government,,,,government,somebody put red-black flag on flagpole near Cabinet of Ministers,Euromaidan,,Kyiv,Kyiv,,EU,Ukrainian nationalism,anti-government,,,0,0,0,N,,0,0,N
KIEV13120207,12/2/2013,1,12/2/2013,Mon,negative response,criminal case,law-enforcement,,,police,,,,party,rightists,Solonenko from Svoboda,"2 criminal cases were opened against man, arrested for attack on Lenin monument in Kyiv (see KIEV13120137 and KIEV13120134)",Euromaidan,,Kyiv,Kyiv,,anti-Communism,Ukrainian nationalism,,,,0,0,0,N,0,0,0,N
KIEV13120208,12/2/2013,1,12/2/2013,Mon,protest,demonstration/march,students,,,Kyiv national university of Technology and Design,,government,,,,government,they marched in support of Euromaidan,Euromaidan,,Kyiv,Kyiv,,EU,Ukrainian nationalism,,,149,0,0,0,N,,0,0,N
KIEV13120209,12/2/2013,1,12/2/2013,Mon,protest,confrontation,,party,rightists,"those, who occupied KMDA, Svoboda most likely present",,"politician, party",,,,Onishchenko and Kolesnichenko of PR,"they booed them and even wanted to beat them, when deputies visited KMDA, calling people to leave it",Euromaidan,,Kyiv,Kyiv,,anti-PR,,,,,0,0,0,N,,0,0,N
KIEV13120210,12/2/2013,1,12/2/2013,Mon,protest,resign,government,,,Triukhan - head of the Department of external economic relations of the Ministry of agrarian politics,,government,,,,government,he resigned as a protest in support of Euromaidan,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,,,1,0,0,0,N,0,0,0,N
KIEV13120211,12/2/2013,2,2/13/2014,Mon,protest,occupation,,party,rightists,"BYT, Svoboda, pro-EU protesters",,government,,,,governmetn,without resistance they occupied October Palace for their needs,Euromaidan,,Kyiv,Kyiv,22:00:00,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120212,12/2/2013,2,12/6/2013,Mon,protest,strike,students,,,students,,"state forces, government",,,,"government, state forces",some students striked in support of Euromaidan,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120213,12/2/2013,approximate,12/2/2013,Mon,negative response,harass,education institution,,,"national university of Dtagomanov, National university of physical training and sport",,,students,,,students,they were harassed because of Euromaidan participation,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,0,0,0,N
KIEV13120214,12/2/2013,1,12/2/2013,Mon,other repression,attack,state forces,,,police and unknown,,,citizens,,,Euromaidan activists,"police and unknown attacked young people, who were spreading leaflets fro Euromaidan in Drahomanov University dormitory. police also tried to arrest them. without success",Euromaidan,,Kyiv,Kyiv,,EU,,,,,0,1,0,N,8,0,0,N
KIEV13120215,12/2/2013,1,12/2/2013,Mon,other repression,arrest,state forces,,,police,,,citizens,,,Euromaidan activists,"police and unknown attacked young people, who were spreading leaflets fro Euromaidan in Drahomanov University dormitory. police also tried to arrest them. without success",Euromaidan,,Kyiv,Kyiv,,EU,,,,,0,0,0,N,8,0,0,N
KIEV13120301,12/3/2013,1,12/3/2013,Tue,negative response,imprisonment,court,,,Shevchenko district court,,,,party,rightists,Solonenko,"court decided to keep Lenin attacker (KIEV13120134) under arrest for 2 months. other mass media reported, that he was imprisoned for to months because of the attack on administration of the president (see KIEV13120131 arrest). however information on Lenin monument was from press service of the prosecution, hence, more likely to be true",Euromaidan,,Kyiv,Kyiv,,anti-Communism,Ukrainian nationalism,,,,1,0,0,N,0,0,0,N
KIEV13120302,12/3/2013,1,12/3/2013,Tue,protest,demonstration/march,,party,rightists,"Svoboda, BYT, UDAR, Euromaidan",government,"party, state forces, government",,,,"Parliament, Berkut, PR",they marched and picketed government (demanding it to vote for Azarov Cabinet resignation) and PR's rally. reported numbers - from 300 to 10000,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,5151,0,0,0,N,999,0,0,N
KIEV13120303,12/3/2013,1,12/3/2013,Tue,protest,blockade,students,,,student of national university of Dragomanov,education institution,government,,,,"government, their university","they blocked entrance to the university, calling for strike",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,199,0,0,0,N,,0,0,N
KIEV13120304,12/3/2013,2,12/16/2013,Tue,protest,rally,"workers, students","party, NGO",,"PR, ""General-military union of Ukraine""",government,"rightists, party",,,,"opposition, Svoboda, government",they rallied for President and against opposition and destabilization. they also called Svoboda neofascists. reported numbers - 200 to 200000 (on 14th of December),Anti-Euromaidan,,Kyiv,Kyiv,,neofascism,pro-government,anti-opposition,,100099,0,0,0,N,999,0,0,N
KIEV13120305,12/3/2013,1,12/3/2013,Tue,protest,demonstration/march,,party,rightists,"opposition, Euromaidan",government,government,,,,"president, cabinet of ministers","3000 to 75000 marched and picketed administration of the president, demanding Cabinet of ministers resignation. they stated about ""blockade"", but this looked more like a picket",Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,39001,0,0,0,N,,0,0,N
KIEV13120306,12/3/2013,2,12/9/2013,Tue,protest,tent camp,,party,rightists,opposition,government,government,,,,Cabinet of ministers,two tents were installed in front of Cabinet of Ministers,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120307,12/3/2013,1,12/3/2013,Tue,protest,shooting,unknown,,,unknown,,party,,,,Bondarenko - deputy head of PR's fraction in parliament,somebody shot into her car. she related this to politics,,,Kyiv,Kyiv,,anti-PR,,,,,0,0,0,Y,0,0,0,Y
KIEV13120308,12/3/2013,1,12/3/2013,Tue,negative response,criminal case,law-enforcement,,,law-enforcement,,,car owners,,,pro-EU car owners,"criminal cases were opened against car owners, who participated in KIEV13120401 blockade",Euromaidan,,Kyiv,Kyiv,,police abuse,anti-government,,,,0,0,0,N,0,0,0,N
KIEV13120309,12/3/2013,1,12/3/2013,Tue,protest,picket,citizens,,,pro-Eu protesters,court,"law-enforcement, court",,,,"Shevchenko district court, law-enforcement","Euromaidan activists picketed court, where case on people, detained for attack on President administration (KIEV13120131) was in process",Euromaidan,,Kyiv,Kyiv,,civic liberties,police abuse,,,30,0,0,0,N,,0,0,N
KIEV13120310,12/3/2013,1,12/3/2013,Tue,negative response,confrontation,state forces,,,likely berkut,,,"car owners, students",party,rightists,"BYT, UDAR, car owners and pro-EU protesters, Svoboda",it was reported that police pushed protester (KIEV13120205)  off from the Cabinet of Ministers,Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
KIEV13120311,12/3/2013,1,12/3/2013,Tue,negative response,imprisonment,court,,,shevchenko district court,,,journalists,,,"likely some rightists (but not clear), some journalists",they were convicted for 2 months of arrest (see KIEV13120131),Euromaidan,,Kyiv,Kyiv,,police abuse,EU,anti-government,,,9,0,0,N,0,0,0,N
KIEV13120312,12/3/2013,approximate,12/3/2013,Tue,negative response,preempt,law-enforcement,,,prosecution,,,"teachers, students",,,Shevchenko (and likely other) university students and teachers,"prosecution demanded information about students and teachers, who were absent without reason on 29th of November",Euromaidan,,Kyiv,Kyiv,,EU,,,,,0,0,0,N,0,0,0,N
KIEV13120313,12/3/2013,1,12/3/2013,Tue,protest,symbolic,,party,,"Euromaidan, Democratic Alliance",,government,,,,president,"they made a ""Yanukovych go away!"" flash-mob on Khreshchatyk",Euromaidan,,Kyiv,Kyiv,,anti-Yanukovych,,,,,0,0,0,N,,0,0,N
